Time,Learning rate,Train loss,Validation loss,MAE_forces,RMSE_forces
1709212827.729514,0.0005,0.21328753654502333,0.07633371729403735,0.1863251650571823,0.27628557051830605
1709215569.4221554,0.0005,0.06496842372674495,0.06124641121961177,0.1646441623767217,0.24748012171964917
1709221139.3253293,0.0005,0.3667753111411259,0.0977614254809916,0.20759249063332877,0.3126682339513681
1709226732.5115507,0.0005,0.060198286693133415,0.07310303473547101,0.1842081362777286,0.27037572753424
1709232278.3623364,0.0005,0.05527249068584293,0.08225028760060668,0.1976978387090895,0.2867931079400613
1709237828.9226322,0.0005,0.05287013073261827,0.09313355055861175,0.19712669061024984,0.3051778986108188
1709243401.8613691,0.0005,0.05135103887498379,0.06108916708827019,0.1642930894560284,0.24716222707810867
1709248955.2582726,0.0005,0.05028124247986823,0.06053817485980689,0.16585454331768884,0.24604506569739748
1709254508.159567,0.0005,0.04939058421794325,0.06617396709471941,0.17005548112392427,0.25724301061659693
1709260102.1835632,0.0005,0.048656477545388044,0.06430153421387076,0.1644615097284317,0.2535774707047808
1709265684.3948588,0.0005,0.04809498645868152,0.06907051242217421,0.17464097889264424,0.26281269331899887
1709271289.5745115,0.0005,0.04759900490909815,0.05035173993222415,0.14816854463683235,0.22439193274881158
1709276874.1450589,0.0005,0.04717416522629559,0.048890726660192015,0.14709956805441116,0.22111247407552304
1709282427.3397188,0.0005,0.046821965274959805,0.04955053186379373,0.14806342514885795,0.22259948645518027
1709288005.3270726,0.0005,0.04653282941047102,0.0540747332058847,0.15179411126772563,0.23253974449655362
1709293597.2414017,0.0005,0.04625876019537449,0.05041780884042382,0.14868910484313966,0.2245391021639465
1709299157.0038383,0.0005,0.045908593126684424,0.04946615967936814,0.14804354595608182,0.22240989000311373
1709304514.1975508,0.0005,0.043583440737500784,0.049052684430405495,0.14882932526005638,0.2214784052068762
1709310104.4305053,0.0005,0.040542432253099975,0.04310475437790155,0.14037587146759034,0.20761684395367028
1709315516.6256492,0.0005,0.03920288270816207,0.04784540398158133,0.14556741449038188,0.21873592184496138
1709320726.7829936,0.0005,0.03785527930822223,0.05598611101768911,0.14907610002888574,0.2366138425751475
1709325929.6000776,0.0005,0.036790359257049855,0.07117656490206718,0.1678215675301022,0.26678936306586803
1709331143.0393374,0.0005,0.0365866419080086,0.09063766691423952,0.17042416738139257,0.3010609012336095
1709336407.5010169,0.0005,0.0365749755442515,0.1350274935055524,0.17710423372851478,0.3674608719950507
1709341639.4050913,0.0005,0.0364655246502161,0.08641862311884761,0.17082578446600172,0.29397044486592483
1709346913.3590515,0.0005,0.03612077068284154,0.0989711024954915,0.18488138540056018,0.31459672842970154
1709352207.4075053,0.0005,0.03515857529807836,0.09424847902022303,0.17625436737537384,0.3069991503224676
1709357439.107839,0.0005,0.03472338996954262,0.05439008010812104,0.1449341161198086,0.23321680817822293
